No,Shop Code,Date,Time,Item Sold,Conversation Details,StA,StB,StC,Pattern,,,ClipName,Stage-1,Stage-2,Stage-3,Stage-4,Stage - 5,Stage where goodday name used,Stage where black-wala etc used,stage where britannia word used
18,Pn-shivajinagar-1,17/11/2022,09.37.37,Harmony,10 Wala Parle Hai Kya Wo Konsa Hai Kala Wala -Good Day 15 Wala -Ye Z Do Parle Usme Kya Hai 15 Wala Me Ye Dekhati Hu Leke.,c,yes,bp,"Black wala, Chocolate wala, 15 wala",Package Driven,"Lady asked for 10 wala parle and purchased. She saw harmony and asked what it is. Shopkeeper said this kala wala buiscuit is mix of all other red, green versions.She purchased harmony.",17-11-22-09-37.mp4,Kala Wala,Harmony,Purchased,,Yes,2,1,
19,Pn-shivajinagar-1,17/11/2022,14.13.15,Harmony,Oh Biscuit Konsa Hai -15 Wala Good Day -15 Wala Nahi- Ye Hide & Seek Do,b,no,bp,Offered & Not Purchased,Package Driven,Lady checked different options. Wanted to purchase hide & seek.Harmony was offered but did not purchase.,17-11-22-14-13.mp4,Biscuit,Harmony,Not Purchased,,NO,2,2,
20,Pn-shivajinagar-1,19/11/2022,11.09.00,Harmony,10 Wali Konsi Biscuit Hain Wo De Do 15 Wali,p,yes,p,"Black wala, Chocolate wala, 15 wala",Package Driven,"Person asked for 10 wala buiscuit. Shopkeeper said ""These all are 10 wali except this one"". The person asked ""who 15 wali do. Isame aisa kya hain jo 15 ki hain"" Shopkeeper said ""kha ke dekh"". Purchased.",19-11-22-11-09.mp4,15 Wala Good Day,Harmony,Purchased,,Yes,,1,
21,Pn-shivajinagar-1,20/11/2022,09.20.18,Harmony,Biscuit Bhi Lena Tha Dedo- Konsa- Good Day Black-15 Wala ?- Ho,bc,yes,bc,"Black wala, Chocolate wala, 15 wala",15 Wala,"Lady said she wants goodday, black. Shopkeeper asked ""15 wala?"" She said yes and purchased.",20-11-22-09-20.mp4,Kala Good Day,Harmony,Purchased,,Yes,1,1,
22,Pn-shivajinagar-1,21/11/2022,18.40.45,Harmony,15 wala hain na badi chahiye merko-Badach hai-a-a-A kya hai dikhake ati hoon,p,yes,p,Offered & Not Purchased,15 Wala,Girl wanted 15 wala bada buiscuit. Shopkeeper gave harmony. She was not sure to buy that but purchased. She returned after some time.,21-11-22-18-40.mp4,15 Wala Good Day,Harmony,Purchased,,Yes,,1,
23,Pn-shivajinagar-1,21/11/2022,18.44.28,Harmony,Harmony Return Dusara Chahiye Mereko,h,return,H,Possible Sale,15 Wala,Girl returned the harmony purchased in 21-11-22-18-40.mp4,21-11-22-18-44.mp4,,Harmony,Returned,,NO,,,
24,Pn/shivajinagar/1,21/11/2022,22.53.15,Harmony,"Biscuit Konsa Hai / 15 Wala Good Day/5 Wala Dedo 15 Wala Dikhao Na, Wo 5 Wala De Do A Kon leta Hai/ Roj Ata Hai Khanewala Hai Na Girhaik",b,no,bp,Offered & Not Purchased,15 Wala,,21-11-22-22-53,Biscuit,15 Wala Good Day,Not Purchased,,NO,2,2,
25,Pn/shivajinagar/1,23/11/2022,22.32.00,Harmony,Ek Good Day De Do 15 Wali De Do,bp,yes,bp,"Black wala, Chocolate wala, 15 wala",15 Wala,,23-11-22-22-32,Good Day,Harmony,Purchased,,Yes,1,,
26,Pn/shivajinagar/1,25/12/2022,09.31.15,Harmony,1 Good Day De /15 Wala Ahe /To Kuthala Ahe 10 Wala To De (Green Good Day ),b,no,bp,Offered & Not Purchased,15 Wala,,25-12-22-09-31,Good Day,Good Day 15 Wala,Not Purchased,,NO,1,2,
27,Pn/shivajinagar/1,25/12/2022,16.57.40,Harmony,Mere Ko Hide & Seek Do /Hide & Seek Nahi Hain /15 Wala Good Day Hain /Chocolate Treat /2,b,no,bpf,Offered & Not Purchased,15 Wala,,25-12-22-16-57,Chocolate 15 Wala,Good Day 15 Wala,Not Purchased,,NO,2,2,
28,Pn/shivajinagar/1,26/12/2022,09.41.50,Harmony,"Tiger Crunch Do,Ek Good Day Do Ek Aur Do.Tiger Crunch /4,Good Day /1",b,yes,b,Possible Sale,Package Driven,,26-12-22-09-41,Good Day,Harmony,Purchased,,Yes,,,
29,Pn/shivajinagar/1,27/12/2022,09.00.30,Harmony,Ek Good Day Dya 15 Wala Kala Wala Good Day Dena. Ek Vitamarie Do,bpc,yes,bp,"Black wala, Chocolate wala, 15 wala",15 Wala,,27-12-22-09-00,Kala Good Day,Good Day 15 Wala,Purchased,,Yes,1,1,
30,Pn/shivajinagar/1,27/12/2022,11.39.10,Harmony,Harmony Purchase By Hand /No Sound,H,yes,H,Direct Sale,Package Driven,,27-12-22-11-39,Biscuit,Harmony,Purchased,,Yes,,,
31,Pn/shivajinagar/1,2/1/2023,11.58.15,Harmony,Good Day To De De Bhai/Wo Sirf 15 Wali Hain Bhai/Ye Kya Hain /15 Wala Good day /De De Ek 15 Wala,b,yes,bp,Offered & Purchased,15 Wala,,02-01-23-11-58,Good Day,Good Day 15 Wala,Purchased,,Yes,1,2,
32,Pn/shivajinagar/1,3/1/2023,23.32.00,Harmony,1 Dena Good Day 15 Wala Chura Mat De Dekhke De De,bp,yes,bp,"Black wala, Chocolate wala, 15 wala",15 Wala,,03-01-23-23-32,Good Day,Harmony,Purchased,,Yes,1,1,
33,Pn/shivajinagar/1,4/1/2023,09.43.48,Harmony,1 Bisccuit Dedo 15 Wala /Nahi Hai/Dedo 10 Wala /Dedo O 15 Wala Muze Aur 10 Wala Dedo Likh Do,p,yes,p,"Black wala, Chocolate wala, 15 wala",15 Wala,,04-01-23-09-43,Biscuit,Harmony,Purchased,,Yes,,1,
